,id_video,Channel,title,description,publish_time,duration,definiton,closed_caption,license_content,madeforkids,license,view_count,like_count,favorite_count,comment_count
11,pCeYZ7eaeIw,Steven He,If ChatGPT was ASIAN,"skit #asian #parody #comedy #sketch #emotionaldamage Watch ""Ginormo!"" Here: https://youtu.be/QaTCKkS04tE Ginormo Poster ...",2023-06-08T19:06:06Z,PT3M48S,hd,false,True,False,youtube,2860254,157187,0,4471
12,a-xGt-YvYys,JonTronShow,The A.I. Episode (Chat GPT Takes Over The World) - JonTron,Install Raid for Free ✓Mobile and PC: https://clik.cc/SZdDZ and get a special starter pack with an Epic champion Jotun   New ...,2023-01-28T23:04:56Z,PT15M57S,hd,false,True,False,youtube,2831722,175036,0,7610
13,AXn2XVLf7d0,The AI Advantage,How To Use Chat GPT by Open AI For Beginners,Looking to get more out of ChatGPT? Get my free E-Book with 250 Beginner Use Cases: https://myaiadvantage.com/newsletter In ...,2022-12-08T21:56:41Z,PT2M23S,hd,true,True,False,youtube,2711625,32425,0,1169
14,iWhlrkfJrCQ,GothamChess,ChatGPT cheated,Get My Chess Courses: https://www.chessly.com/ ➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB ➡️ Enjoy my videos ...,2023-02-13T16:17:00Z,PT21M41S,hd,false,True,False,youtube,2703673,127897,0,9466
15,zzPwTJGBLOc,Kanał Sportowy,"ANDRZEJ DRAGAN, TOMASZ CZAJKA I STANOWSKI. ChatGPT, SZTUCZNA INTELIGENCJA. HEJT PARK: JESTEŚMY NA TY","Audycja przeznaczona dla osób powyżej 16. roku życia. #HejtPark - Jesteśmy Na Ty - profesor Andrzej #Dragan, fizyk oraz ...",2023-04-26T22:19:05Z,PT3H55M56S,hd,false,True,False,youtube,2599216,35006,0,2756
16,N8Wz7LF2QS0,SSundee,Using ChatGPT in Among Us,We use ChatGPT to win in Modded Among Us ☞ Subscribe & click the bell Subscribe ...,2023-06-11T16:00:17Z,PT18M,hd,false,True,False,youtube,2504683,64568,0,2422
17,jnnj6Fd2ym0,Sandeep Maheshwari,The Future of Artificial Intelligence By Sandeep Maheshwari | Will ChatGPT Take Your Job?,"Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and ...",2023-05-11T06:38:09Z,PT15M15S,hd,false,False,False,youtube,2482158,104243,0,5620
18,WizoCwjEKsg,蘋果妹,超簡單！一次上手ChatGPT使用教學 文案 報告 論文,【必看續集】最新ChatGPT教學影片！完整版https://youtu.be/EM25tJ4oHUM 〖訂閱頻道按鈕〗https://bit.ly/applemeisubscribe ...,2023-01-31T13:30:11Z,PT8M34S,hd,true,True,False,youtube,2361471,49749,0,1353
19,DIU48QL5Cyk,ColdFusion,AI is Evolving Faster Than You Think [GPT-4 and beyond],"In this episode, we take a deep look at the two weeks that changed the world. From GPT-4 to Google Bard, Midjourney v5 and ...",2023-03-27T20:49:43Z,PT25M21S,hd,false,True,False,youtube,2311209,95937,0,9744
20,Nh5i5obZ8OY,ColdFusion,Google Panics Over ChatGPT [The AI Wars Have Begun],Google's newly announced BARD AI system is mentioned at 12:25 In this episode we see why Google has called a code red ...,2023-02-06T15:10:53Z,PT18M7S,hd,false,True,False,youtube,2304554,69051,0,7739
21,ABHz5oZx-WA,Nick Jones,"I Asked AI about the Second Coming of Jesus, and its Response Left Me Stunned!","I asked an advanced AI system about the end times according to the Bible, and what it revealed left me absolutely stunned!",2023-06-05T20:33:59Z,PT31M30S,hd,false,True,False,youtube,2228096,89158,0,19559
22,f-_78a0HXCY,Ben Shapiro,Ben Shapiro Breaks AI Chatbot (with Facts &amp; Logic),"Ben Shapiro debates AI chatbot, Open AI. Open AI is supposed to have objective answers, using extraordinary amounts of ...",2022-12-26T17:00:20Z,PT15M37S,hd,false,True,False,youtube,2209259,78067,0,10397
23,jHv63Uvk5VA,Santrel Media,Complete ChatGPT Tutorial - [Become A Power User in 30 Minutes],"Stay ahead of the curve with our AI newsletter: https://neuralfrontier.beehiiv.com/ In this video, I will show you the 10 major types of ...",2023-02-25T14:46:49Z,PT27M32S,hd,false,True,False,youtube,2204878,36896,0,1042
24,J-1442w0l9g,CA Rahul Malodia: Business Coach,ChatGPT Vs Google | Explained In Hindi By Rahul Malodia,"Jobs that require human intelligence and a high level of education – writing, journalism, translation, education, law, computer ...",2023-03-04T12:30:10Z,PT15M58S,hd,true,True,False,youtube,2185737,46189,0,1539
25,_ks5nM-ScTE,DrossRotzank,Una experiencia lúgubre con la I.A ChatGPT,"Si el video te gusta, valoraría mucho que le dieras like y que comentaras algo. ¡Gracias! ❤ | ¡Suscríbete! http://bit.ly/1a1sm3k ...",2023-06-20T00:00:08Z,PT25M23S,hd,false,True,False,youtube,2158572,159679,0,9691
26,X6MykhFaP5U,fzFact,ChatGPT से Lakhs में कमाओ! | Best Freelance Work | No Skills Needed | 100% FREE,"In this video, I talk about the best and evergreen to make money with chatgpt. best part-time jobs, work from home, and make ...",2023-01-29T15:10:21Z,PT13M21S,hd,false,True,False,youtube,2080574,72303,0,1680
27,RCBZ-Xj2dgQ,SidTalk,ChatGPT Tutorial in HINDI | What is Chat GPT &amp; How To Download ChatGPT in Mobile Phone | Live DEMO,"Hey Guys, In this video i'll explain you what is Chat GPT & How to use Chat GPT in Hindi. How to earn money using Chat GPT in ...",2023-01-09T13:53:02Z,PT9M23S,hd,false,True,False,youtube,2040444,79615,0,1930
28,RdAQnkDzGvc,KARE 11,Testing the limits of ChatGPT and discovering a dark side,"As more people discover ChatGPT's artificial intelligence, KARE 11's Chris Hrapsky checks out its capabilities and limitations, and ...",2023-02-15T13:00:15Z,PT10M55S,hd,false,True,False,youtube,2041976,40592,0,4311
29,EHE2XqzRc1s,ShaunTrack,ChatGPT Compone mejor que muchos músicos y da miedo | ShaunTrack,"Escucha !Quema, quema todo ya en todas las plataformas de música: Spotify: https://spotify.link/q9VMwr4x6xb Deezer: ...",2023-03-11T16:24:34Z,PT15M54S,hd,false,True,False,youtube,1942076,151765,0,9300
30,-fopYsgFdzc,Hayls World,10 ChatGPT Life Hacks - THAT’LL CHANGE YOUR LIFE !!,"Hey guys! Welcome back to Hayls World! Today's video is all about ChatGPT and how it can change your life! In ""10 ChatGPT Life ...",2023-03-31T15:00:01Z,PT11M,hd,false,True,False,youtube,1919466,58010,0,2479
31,Gaf_jCnA6mc,Charlie Chang,ChatGPT Tutorial: How to Use Chat GPT For Beginners 2023,"Get my free Top 10 ChatGPT Use Cases PDF here: https://www.charliechang.co/chatgpt In this video, I'm going to give you a ...",2023-04-04T18:09:53Z,PT27M51S,hd,false,True,False,youtube,1881833,34713,0,797
32,3mIqCO3f96c,Rye,I Made a Game Using ChatGPT,Today I Made a Game With ChatGPT. In this unity devlog / indie devlog video I made a game with AI. Can an AI make a good ...,2023-03-05T22:53:39Z,PT9M51S,hd,false,True,False,youtube,1715000,30160,0,1195
33,bWr-DA5Wjfw,CNBC Television,Elon Musk on Sam Altman and ChatGPT: I am the reason OpenAI exists,"Tesla and Twitter CEO Elon Musk sits down with CNBC's David Faber for an exclusive interview from Austin, Texas, during Tesla's ...",2023-05-16T23:37:43Z,PT5M18S,hd,true,True,False,youtube,1693902,16917,0,2902
34,lGSGTrn5INA,Doctor Mike,Asking ChatGPT Tough Medical Questions,Exclusive! Grab the NordVPN deal ➼ https://nordvpn.com/doctormike. Try it risk-free now with a 30-day money-back guarantee!,2023-02-05T15:00:35Z,PT10M32S,hd,true,True,False,youtube,1683350,78139,0,2570
35,TBZM7ZQsCQU,Thomas Garetz,Make Money with YouTube Shorts Using ChatGPT (NO FACE OR VOICE REQUIRED),The timing of this video couldn't be any more perfect - not only does YouTube Shorts start monetization TODAY... but ChatGPT is ...,2023-02-01T15:00:08Z,PT21M54S,hd,false,True,False,youtube,1597957,97520,0,3289
36,_lhRRQuJkqA,Kishan Ahir,Earn ₹2000/Day With ChatGPT 🔥 Lekin kese ?,"Earn ₹2000/Day With Chat GPT | Best Freelance Work | COPY PASTE JOB | Chatgpt in hindi In this video , I talk about Chatgpt .",2023-01-22T10:56:02Z,PT6M22S,hd,false,True,False,youtube,1595134,50517,0,1683
37,C_78DM8fG6E,TED,The Inside Story of ChatGPT’s Astonishing Potential | Greg Brockman | TED,"In a talk from the cutting edge of technology, OpenAI cofounder Greg Brockman explores the underlying design principles of ...",2023-04-20T15:11:28Z,PT30M10S,hd,true,True,False,youtube,1580241,32885,0,2094
38,FojyYKU58cw,GothamChess,Google vs. ChatGPT: INSANE CHESS,Get My Chess Courses: https://www.chessly.com/ ➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB ➡️ Enjoy my videos ...,2023-05-14T15:10:00Z,PT19M48S,hd,false,True,False,youtube,1500550,73687,0,4006
39,BYGWMArFNRE,Firstpost,ChatGPT: The AI chatbot has Everyone Talking to it | Vantage with Palki Sharma,ChatGPT is all the craze right now. The new AI Chatbot has everyone talking to it. It seems like an unstoppable revolution.,2023-01-31T19:09:29Z,PT8M11S,hd,false,True,False,youtube,1494768,23606,0,1715
40,mYNqikThZvQ,TradeIQ ,ChatGPT Trading Strategy Made 19527% Profit ( FULL TUTORIAL ),"I found the 100 setups in 4 months. This ChatGPT trading strategy works well for scalping cryptocurrencies ( Bitcoin, Ethereum, ...",2023-03-11T14:43:12Z,PT8M12S,hd,false,True,False,youtube,1490480,28742,0,2803
41,B7Om_b4evdA,Andrew Cartwright,Chat GPT explained 7 BUSINESSES Free to start! Make $1 Million using ChatGPT,Chat gpt explained with Examples 7 BUSINESSES Free to start! Makeup to $1 Million ChatGPT. Examples ▻   LOANS ONLY ...,2022-12-26T15:00:09Z,PT18M57S,hd,false,True,False,youtube,1457471,52155,0,2443
42,UY7sRB60wZ4,SociallyIneptWeeb,So I turned my VOICE into an anime WAIFU using ChatGPT and AI...,Turns out this Sidequest became a lot bigger than I thought... AI voice credit VOICEVOX Mochiko (cv Ashitaba Yomogi) I don't own ...,2023-02-07T11:00:07Z,PT13M24S,hd,false,True,False,youtube,1439208,92377,0,2809
43,0EGezRVeqx0,MysteryOre,GPT-4 Just Changed How We Play Minecraft,"Would artificial intelligence beat Minecraft how we do? In this video, I beat the game using ChatGPT. With access to unlimited ...",2023-05-12T02:00:00Z,PT11M38S,hd,false,True,False,youtube,1432541,70208,0,3797
44,o5MutYFWsM8,How It Happened,What is ChatGPT? OpenAI&#39;s Chat GPT Explained,What is ChatGPT? OpenAI's Chat GPT Explained. What is Chat GPT? What is OpenAI? Who Founded open ai? What is Chat GPT ...,2022-12-14T14:00:32Z,PT9M17S,hd,false,True,False,youtube,1436851,13471,0,955
45,nLtj1ZDFy6o,Sbj Classes,Chatgpt Copy Paste Work | Chagpt से 5 दिन में कमाए 32000₹ | Earn Money from Chatgpt | Earn Money 💴✅,How To Create Paypal Account :- https://youtu.be/dJkfYgEPs_s ◇My Second Channel (Accounting Guru ji) ...,2023-02-26T04:40:08Z,PT13M43S,hd,false,True,False,youtube,1395690,45336,0,899
46,Hrv4UP3wBRg,GothamChess,I Made ChatGPT Cry,Get My Chess Courses: https://www.chessly.com/ ➡️ Start Playing Chess FOR FREE: http://bit.ly/3Xa3EsB ➡️ Enjoy my videos ...,2023-02-28T16:38:00Z,PT18M52S,hd,false,True,False,youtube,1386012,72045,0,3393
47,TpZcGhYp4rw,Fireship,Elon wants GPT-5 stopped NOW… 5 reasons AI kinda sucks,Elon Musk and many other prominent AI researchers signed a petition to stop training on all models beyond GPT-4 to assess the ...,2023-03-29T18:28:17Z,PT6M38S,hd,false,True,False,youtube,1371298,81148,0,11154
48,FtIEhrZD_5I,Alakh GK,CHAT GPT और Artificial Intelligence | कैसे GPT USE करें | ROBOTS V/S HUMANS | JOBS RISK | Alakh GK,ChatGPT #HowToUseChatGPT #AI.,2023-06-21T16:22:23Z,PT29M49S,hd,false,True,False,youtube,1364701,45581,0,1685
49,zNRvAMJOfAI,小Lin说,一口气搞清楚ChatGPT,ChatGPT呼声实在是太高了，大家最近肯定也被各种新闻轰炸，今天小Lin就把ChatGPT穿成串儿，一个视频，看懂ChatGPT~ 感谢 ...,2023-02-26T01:30:31Z,PT29M2S,hd,true,True,False,creativeCommon,1349747,31427,0,1693
